,STL_Raw,STL_Pct,SEA_Raw,SEA_Pct,DEN_Raw,DEN_Pct,SLC_Raw,SLC_Pct,AUS_Raw,AUS_Pct,DC_Raw,DC_Pct,MEM_Raw,MEM_Pct,PHX_Raw,PHX_Pct,CHA_Raw,CHA_Pct,DET_Raw,DET_Pct,MIN_Raw,MIN_Pct,IND_Raw,IND_Pct,BOS_Raw,BOS_Pct,MIA_Raw,MIA_Pct,PHI_Raw,PHI_Pct,SF_Raw,SF_Pct,NY_Raw,NY_Pct,CHI_Raw,CHI_Pct,LA_Raw,LA_Pct,HOU_Raw,HOU_Pct,ATL_Raw,ATL_Pct,JAC_Raw,JAC_Pct,KC_Raw,KC_Pct,LV_Raw,LV_Pct
Total households,1145583,,1541245,,1152457,,405984,,818084,,2251002,,505048,,1765135,,982241,,1720610,,1396025,,793781,,1855763,,2187192,,2323207,,1721576,,7102817,,3539174,,4372678,,2436438,,2189294,,584381,,844310,,813607,
"  Less than $10,000",64177,5.6,57938,3.8,44364,3.8,15556,3.8,38006,4.6,84716,3.8,35659,7.1,86519,4.9,42375,4.3,109555,6.4,52546,3.8,46901,5.9,90460,4.9,147539,6.7,144503,6.2,61893,3.6,435074,6.1,197062,5.6,222122,5.1,128319,5.3,106847,4.9,32501,5.6,39647,4.7,53536,6.6
"  $10,000 to $14,999",39767,3.5,38945,2.5,26952,2.3,10730,2.6,18706,2.3,42854,1.9,27656,5.5,50450,2.9,37350,3.8,68602,4,40648,2.9,27695,3.5,62449,3.4,101633,4.6,81599,3.5,57685,3.4,268328,3.8,116551,3.3,170731,3.9,72598,3,66963,3.1,18245,3.1,28689,3.4,31025,3.8
"  $15,000 to $24,999",90033,7.9,74852,4.9,59036,5.1,21433,5.3,47265,5.8,86908,3.9,50606,10,127828,7.2,75600,7.7,143151,8.3,75191,5.4,64017,8.1,104734,5.6,193270,8.8,167190,7.2,78345,4.6,470247,6.6,252981,7.1,300247,6.9,196457,8.1,147572,6.7,45079,7.7,64082,7.6,62927,7.7
"  $25,000 to $34,999",94504,8.2,80117,5.2,68482,5.9,24867,6.1,47504,5.8,103871,4.6,51655,10.2,133705,7.6,82111,8.4,156731,9.1,85384,6.1,67120,8.5,96346,5.2,204746,9.4,171546,7.4,76770,4.5,448768,6.3,262003,7.4,299728,6.9,205477,8.4,164665,7.5,49042,8.4,66738,7.9,67764,8.3
"  $35,000 to $49,999",142256,12.4,134783,8.7,110922,9.6,40299,9.9,89541,10.9,164665,7.3,66900,13.2,227994,12.9,124777,12.7,204341,11.9,141575,10.1,104748,13.2,147603,8,274341,12.5,235626,10.1,112700,6.5,629819,8.9,367747,10.4,434961,9.9,284141,11.7,256885,11.7,73937,12.7,99003,11.7,107664,13.2
"  $50,000 to $74,999",201575,17.6,231085,15,195445,17,76525,18.8,138537,16.9,292694,13,88114,17.4,333128,18.9,183147,18.6,305858,17.8,223576,16,146677,18.5,249501,13.4,383754,17.5,366821,15.8,192164,11.2,993525,14,564960,16,687857,15.7,415303,17,397470,18.2,110091,18.8,151280,17.9,154660,19
"  $75,000 to $99,999",156756,13.7,194210,12.6,155337,13.5,64157,15.8,110775,13.5,280578,12.5,62323,12.3,243790,13.8,128776,13.1,220155,12.8,199908,14.3,100776,12.7,220811,11.9,261904,12,291922,12.6,176944,10.3,809955,11.4,447217,12.6,541208,12.4,293561,12,288815,13.2,79671,13.6,122109,14.5,110244,13.6
"  $100,000 to $149,999",186825,16.3,307209,19.9,227652,19.8,80571,19.8,148230,18.1,446312,19.8,66082,13.1,296130,16.8,150332,15.3,267861,15.6,281920,20.2,122843,15.5,339577,18.3,306540,14,382013,16.4,303489,17.6,1198228,16.9,632899,17.9,763161,17.5,387760,15.9,368790,16.8,93931,16.1,146867,17.4,124083,15.3
"  $150,000 to $199,999",83550,7.3,170983,11.1,121931,10.6,38624,9.5,83844,10.2,290620,12.9,25012,5,126106,7.1,70140,7.1,120411,7,139583,10,56002,7.1,218769,11.8,131877,6,213594,9.2,211424,12.3,704022,9.9,313116,8.8,400534,9.2,202325,8.3,177839,8.1,39086,6.7,64145,7.6,48932,6
