Year,Population,Metro
2010,72882,"Aberdeen, WA Micro Area"
2010,164941,"Abilene, TX Metro Area"
2010,99763,"Adrian, MI Micro Area"
2010,305988,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area"
2010,702951,"Akron, OH Metro Area"
2010,162659,"Albany, GA Metro Area"
2010,116910,"Albany-Lebanon, OR Micro Area"
2010,870832,"Albany-Schenectady-Troy, NY Metro Area"
2010,93235,"Albertville, AL Micro Area"
2010,892014,"Albuquerque, NM Metro Area"
2010,154120,"Alexandria, LA Metro Area"
2010,111503,"Allegan, MI Micro Area"
2010,822141,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
2010,127031,"Altoona, PA Metro Area"
2010,251915,"Amarillo, TX Metro Area"
2010,89575,"Ames, IA Metro Area"
2010,382964,"Anchorage, AK Metro Area"
2010,131642,"Anderson, IN Metro Area"
2010,187269,"Anderson, SC Metro Area"
2010,345290,"Ann Arbor, MI Metro Area"
2010,118510,"Anniston-Oxford, AL Metro Area"
2010,225952,"Appleton, WI Metro Area"
2010,422752,"Asheville, NC Metro Area"
2010,101429,"Ashtabula, OH Micro Area"
2010,78647,"Athens, TX Micro Area"
2010,192738,"Athens-Clarke County, GA Metro Area"
2010,5288302,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
2010,274685,"Atlantic City-Hammonton, NJ Metro Area"
2010,79978,"Auburn, NY Micro Area"
2010,140780,"Auburn-Opelika, AL Metro Area"
2010,560293,"Augusta-Richmond County, GA-SC Metro Area"
2010,122143,"Augusta-Waterville, ME Micro Area"
2010,1728307,"Austin-Round Rock-San Marcos, TX Metro Area"
2010,842207,"Bakersfield-Delano, CA Metro Area"
2010,2714183,"Baltimore-Towson, MD Metro Area"
2010,153849,"Bangor, ME Metro Area"
2010,215937,"Barnstable Town, MA Metro Area"
2010,804406,"Baton Rouge, LA Metro Area"
2010,136072,"Battle Creek, MI Metro Area"
2010,107703,"Bay City, MI Metro Area"
2010,389068,"Beaumont-Port Arthur, TX Metro Area"
2010,88748,"Beaver Dam, WI Micro Area"
2010,78904,"Beckley, WV Micro Area"
2010,201628,"Bellingham, WA Metro Area"
2010,157894,"Bend, OR Metro Area"
2010,157365,"Billings, MT Metro Area"
2010,251321,"Binghamton, NY Metro Area"
2010,1128978,"Birmingham-Hoover, AL Metro Area"
2010,109266,"Bismarck, ND Metro Area"
2010,161768,"Blacksburg-Christiansburg-Radford, VA Metro Area"
2010,192696,"Bloomington, IN Metro Area"
2010,169832,"Bloomington-Normal, IL Metro Area"
2010,85554,"Bloomsburg-Berwick, PA Micro Area"
2010,107360,"Bluefield, WV-VA Micro Area"
2010,619694,"Boise City-Nampa, ID Metro Area"
2010,4560689,"Boston-Cambridge-Quincy, MA-NH Metro Area"
2010,295166,"Boulder, CO Metro Area"
2010,127280,"Bowling Green, KY Metro Area"
2010,89658,"Bozeman, MT Micro Area"
2010,91146,"Brainerd, MN Micro Area"
2010,84065,"Branson, MO Micro Area"
2010,251809,"Bremerton-Silverdale, WA Metro Area"
2010,918714,"Bridgeport-Stamford-Norwalk, CT Metro Area"
2010,408054,"Brownsville-Harlingen, TX Metro Area"
2010,107890,"Brunswick, GA Metro Area"
2010,1135198,"Buffalo-Niagara Falls, NY Metro Area"
2010,151528,"Burlington, NC Metro Area"
2010,211035,"Burlington-South Burlington, VT Metro Area"
2010,403238,"Canton-Massillon, OH Metro Area"
2010,620151,"Cape Coral-Fort Myers, FL Metro Area"
2010,98062,"Cape Girardeau-Jackson, MO-IL Metro Area"
2010,55226,"Carson City, NV Metro Area"
2010,75507,"Casper, WY Metro Area"
2010,258223,"Cedar Rapids, IA Metro Area"
2010,75487,"Centralia, WA Micro Area"
2010,149834,"Chambersburg, PA Micro Area"
2010,234445,"Champaign-Urbana, IL Metro Area"
2010,304571,"Charleston, WV Metro Area"
2010,667741,"Charleston-North Charleston-Summerville, SC Metro Area"
2010,1764313,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area"
2010,199776,"Charlottesville, VA Metro Area"
2010,530205,"Chattanooga, TN-GA Metro Area"
2010,92127,"Cheyenne, WY Metro Area"
2010,9474211,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area"
2010,220072,"Chico, CA Metro Area"
2010,78090,"Chillicothe, OH Micro Area"
2010,2133203,"Cincinnati-Middletown, OH-KY-IN Metro Area"
2010,95616,"Clarksburg, WV Micro Area"
2010,274695,"Clarksville, TN-KY Metro Area"
2010,64771,"Clearlake, CA Micro Area"
2010,115716,"Cleveland, TN Metro Area"
2010,2075758,"Cleveland-Elyria-Mentor, OH Metro Area"
2010,71492,"Coamo, PR Micro Area"
2010,138901,"Coeur d'Alene, ID Metro Area"
2010,230141,"College Station-Bryan, TX Metro Area"
2010,648943,"Colorado Springs, CO Metro Area"
2010,172319,"Columbia, MO Metro Area"
2010,770410,"Columbia, SC Metro Area"
2010,81141,"Columbia, TN Micro Area"
2010,292141,"Columbus, GA-AL Metro Area"
2010,76855,"Columbus, IN Metro Area"
2010,1840631,"Columbus, OH Metro Area"
2010,146400,"Concord, NH Micro Area"
2010,105761,"Cookeville, TN Micro Area"
2010,63025,"Coos Bay, OR Micro Area"
2010,98930,"Corning, NY Micro Area"
2010,428217,"Corpus Christi, TX Metro Area"
2010,85575,"Corvallis, OR Metro Area"
2010,180728,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
2010,80459,"Cullman, AL Micro Area"
2010,103239,"Cumberland, MD-WV Metro Area"
2010,6402922,"Dallas-Fort Worth-Arlington, TX Metro Area"
2010,142493,"Dalton, GA Metro Area"
2010,81551,"Danville, IL Metro Area"
2010,106416,"Danville, VA Metro Area"
2010,183195,"Daphne-Fairhope-Foley, AL Micro Area"
2010,382382,"Davenport-Moline-Rock Island, IA-IL Metro Area"
2010,841310,"Dayton, OH Metro Area"
2010,153968,"Decatur, AL Metro Area"
2010,110715,"Decatur, IL Metro Area"
2010,494527,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
2010,2560529,"Denver-Aurora-Broomfield, CO Metro Area"
2010,570358,"Des Moines-West Des Moines, IA Metro Area"
2010,4291843,"Detroit-Warren-Livonia, MI Metro Area"
2010,146010,"Dothan, AL Metro Area"
2010,162912,"Dover, DE Metro Area"
2010,81562,"DuBois, PA Micro Area"
2010,93880,"Dubuque, IA Metro Area"
2010,280035,"Duluth, MN-WI Metro Area"
2010,115733,"Dunn, NC Micro Area"
2010,505933,"Durham-Chapel Hill, NC Metro Area"
2010,107800,"East Liverpool-Salem, OH Micro Area"
2010,169896,"East Stroudsburg, PA Micro Area"
2010,161443,"Eau Claire, WI Metro Area"
2010,175234,"El Centro, CA Metro Area"
2010,122347,"Elizabethtown, KY Metro Area"
2010,197646,"Elkhart-Goshen, IN Metro Area"
2010,88824,"Elmira, NY Metro Area"
2010,804338,"El Paso, TX Metro Area"
2010,100462,"Enterprise-Ozark, AL Micro Area"
2010,280686,"Erie, PA Metro Area"
2010,351983,"Eugene-Springfield, OR Metro Area"
2010,134794,"Eureka-Arcata-Fortuna, CA Micro Area"
2010,357948,"Evansville, IN-KY Metro Area"
2010,98314,"Fairbanks, AK Metro Area"
2010,70629,"Fajardo, PR Metro Area"
2010,209144,"Fargo, ND-MN Metro Area"
2010,65498,"Farmington, MO Micro Area"
2010,130145,"Farmington, NM Metro Area"
2010,367733,"Fayetteville, NC Metro Area"
2010,465780,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
2010,74727,"Findlay, OH Micro Area"
2010,134651,"Flagstaff, AZ Metro Area"
2010,424926,"Flint, MI Metro Area"
2010,205705,"Florence, SC Metro Area"
2010,147112,"Florence-Muscle Shoals, AL Metro Area"
2010,101665,"Fond du Lac, WI Metro Area"
2010,67772,"Forest City, NC Micro Area"
2010,300637,"Fort Collins-Loveland, CO Metro Area"
2010,71151,"Fort Payne, AL Micro Area"
2010,299749,"Fort Smith, AR-OK Metro Area"
2010,415013,"Fort Wayne, IN Metro Area"
2010,70753,"Frankfort, KY Micro Area"
2010,933248,"Fresno, CA Metro Area"
2010,104462,"Gadsden, AL Metro Area"
2010,266321,"Gainesville, FL Metro Area"
2010,180253,"Gainesville, GA Metro Area"
2010,69183,"Galesburg, IL Micro Area"
2010,71797,"Gallup, NM Micro Area"
2010,101485,"Gettysburg, PA Micro Area"
2010,128985,"Glens Falls, NY Metro Area"
2010,122907,"Goldsboro, NC Metro Area"
2010,99586,"Grand Forks, ND-MN Metro Area"
2010,72905,"Grand Island, NE Micro Area"
2010,146313,"Grand Junction, CO Metro Area"
2010,774540,"Grand Rapids-Wyoming, MI Metro Area"
2010,82807,"Grants Pass, OR Micro Area"
2010,81519,"Great Falls, MT Metro Area"
2010,254270,"Greeley, CO Metro Area"
2010,306730,"Green Bay, WI Metro Area"
2010,68797,"Greeneville, TN Micro Area"
2010,725282,"Greensboro-High Point, NC Metro Area"
2010,190201,"Greenville, NC Metro Area"
2010,638576,"Greenville-Mauldin-Easley, SC Metro Area"
2010,69703,"Greenwood, SC Micro Area"
2010,84040,"Guayama, PR Metro Area"
2010,250196,"Gulfport-Biloxi, MS Metro Area"
2010,267239,"Hagerstown-Martinsburg, MD-WV Metro Area"
2010,121425,"Hammond, LA Micro Area"
2010,153174,"Hanford-Corcoran, CA Metro Area"
2010,550076,"Harrisburg-Carlisle, PA Metro Area"
2010,125454,"Harrisonburg, VA Metro Area"
2010,1212956,"Hartford-West Hartford-East Hartford, CT Metro Area"
2010,146199,"Hattiesburg, MS Metro Area"
2010,71066,"Helena, MT Micro Area"
2010,365397,"Hickory-Lenoir-Morganton, NC Metro Area"
2010,185406,"Hilo, HI Micro Area"
2010,187928,"Hilton Head Island-Beaufort, SC Micro Area"
2010,74778,"Hinesville-Fort Stewart, GA Metro Area"
2010,264055,"Holland-Grand Haven, MI Metro Area"
2010,141129,"Homosassa Springs, FL Micro Area"
2010,955775,"Honolulu, HI Metro Area"
2010,96145,"Hot Springs, AR Metro Area"
2010,208189,"Houma-Bayou Cane-Thibodaux, LA Metro Area"
2010,5977092,"Houston-Sugar Land-Baytown, TX Metro Area"
