DATE,LA,NY,STL,HOU,DEN,SEA,SF,DC,SLC,AUS,MEM,PHX,CHA,DET,MIN,IND,BOS,MIA,PHI,CHI,ATL,JAC,KC,LV
1/1/2009,24.86,39.9,20.21,27.18,25.04,30.99,31.55,28.54,27.13,28.49,24.56,25.66,30.57,19.79,30.62,22.38,26.19,21.68,18.12,26.11,34.31,23.37,24.01,25.22
1/1/2010,16.42,19.23,13.49,18.43,15.97,22.68,21.81,18.57,20.98,19.34,17.6,18.41,20.59,14.71,21.27,15.29,16.51,14.05,11.65,17.74,20.09,17.54,17.63,18.67
1/1/2011,15.76,19.35,12.94,18.06,16.25,22.94,20.72,18.76,20.1,19.25,17.22,18.26,19.9,14,21.19,15.08,15.8,13.81,11.31,16.98,20,17.01,16.87,17.07
1/1/2012,15.76,19.24,12.39,17.96,17.09,22.56,21.11,19.55,20.76,20.44,17.01,18.4,20.8,14.2,21.41,15.49,16.15,13.8,11.56,17.22,20.26,15.82,16.61,17.37
1/1/2013,16,20.55,13.14,18.05,16.91,22.93,21.95,19.63,21.33,21.19,16.97,18.45,20.09,14.41,21.73,15.28,17.19,13.69,11.94,17.8,20.13,17.25,17.14,17.66
1/1/2014,16.29,21.49,13.63,18.49,17.97,23.94,23.95,20.66,21.52,21.43,16.45,19.02,21.61,14.68,21.61,15.68,17.04,13.87,12.6,18.1,19.96,16.39,16.78,17.75
1/1/2015,17.16,21.15,14.46,19.15,18.67,25.55,25.78,21.67,22.42,22.38,17.56,19.66,20.76,14.68,22.97,15.11,17.56,13.99,13.24,18.55,21.41,17.65,17.56,17.82
1/1/2016,25.48,50.36,24.74,32.37,31.5,35.21,50.21,32.12,29.98,38.39,28.13,28.06,35.6,24.33,38.58,25.87,30.67,26.77,22.33,27.86,40.14,25.97,28.03,24.7
1/1/2017,26.32,51.91,24.15,32.52,32.85,35.7,51.08,33.48,30.17,38.91,29,28.61,36.84,24.45,39.76,25.63,32.42,26.68,22.01,28.52,42.31,26.37,28.25,26.33
1/1/2018,27.15,53.24,24.45,33.06,34.01,36.77,55.32,34.07,31.96,41.56,27.19,29.17,36.38,24.67,40.6,25.74,30.31,28.47,24.44,29.54,44.55,28.38,28.51,26.66
1/1/2019,27.51,57.8,24.34,33.89,34.91,38.26,54.38,36.21,32.44,41.85,30.16,29.58,37.93,25.67,39.93,26.65,33.4,28.48,25.38,30.79,47.26,27.3,28.69,27.84
