1date,PHOE004BP1FHSA, LASV832BP1FHSA, ATLA013BP1FHSA, DALL148BP1FHSA, CHAR737BP1FHSA, PORT941BP1FHSA, AUST448BP1FHSA, KANS129BP1FHSA, TAMP312BP1FHSA, HOUS448BP1FHSA, MIAM112BP1FHSA, DENV708BP1FHSA, ALBU735BP1FHSA, OKLA440BP1FHSA, LOSA106BP1FHSA, NAPL912BP1FHSA, DETR826BP1FHSA, PHIL942BP1FHSA, BOST625BP1FHSA, CHIC917BP1FHSA, SEAT653BP1FHSA, NASH947BP1FHSA, JACK212BP1FHSA, COLO808BP1FHSA, SANF806BP1FHSA, SANA748BP1FHSA, ORLA712BP1FHSA, LOIBP1FHSA, COLU139BP1FHSA, STLBP1FHSA, WASH911BP1FHSA, OMAH531BP1FHSA, FORT018BP1FHSA, BOIS216BP1FHSA, NEWY636BP1FHSA, PITT342BP1FHSA, SAND706BP1FHSA, BIRM801BP1FHSA, RALE537BP1FHSA, MPHBP1FHSA, SARA212BP1FHSA, INDI918BP1FHSA, SACR906BP1FHSA, TUCS004BP1FHSA, FORT608BP1FHSA, NEWO322BP1FHSA, RENO932BP1FHSA, TULS140BP1FHSA, EUGE641BP1FHSA, MINN427BP1FHSA, PUEB308BP1FHSA, LAKE412BP1FHSA, PENS812BP1FHSA, GREE508BP1FHSA, TALL212BP1FHSA, CAPE912BP1FHSA, GRAN308BP1FHSA, SALT649BP1FHSA, PORT912BP1FHSA, DELT612BP1FHSA, COLU945BP1FHSA, BALT524BP1FHSA, PALM312BP1FHSA, FAIR802BP1FHSA, FARM135BP1FHSA, GREE637BP1FHSA, GREE845BP1FHSA, HARR551BP1FHSA, LARE748BP1FHSA, MADI555BP1FHSA, MCAL548BP1FHSA, MEDF741BP1FHSA, MIDL248BP1FHSA, MILW355BP1FHSA, WILM937BP1FHSA, SUMT945BP1FHSA, SPRI239BP1FHSA, ROME613BP1FHSA, OCAL112BP1FHSA, MISS530BP1FHSA, DURH537BP1FHSA, DOVE110BP1FHSA, CLMBP1FHSA, CLEV439BP1FHSA, CINC139BP1FHSA, CHEY956BP1FHSA, TREN934BP1FHSA, TEXBP1FHSA, ANCH202BP1FHSA, ALLE942BP1FHSA, STOC706BP1FHSA, SEBA612BP1FHSA, RIVE106BP1FHSA, RICH051BP1FHSA, VINE234BP1FHSA, ODES248BP1FHSA, CHAR745BP1FHSA, BEND441BP1FHSA, AUBU201BP1FHSA, GRAN326BP1FHSA, HSPBP1FHSA, JOHN747BP1FHSA, LASC735BP1FHSA, SANA648BP1FHSA, MYRT845BP1FHSA, DESM719BP1FHSA, SANJ906BP1FHSA, OCEA134BP1FHSA, VIRG251BP1FHSA, SANT135BP1FHSA, PUNT412BP1FHSA, CARS132BP1FHSA, ATLA134BP1FHSA, HONO115BP1FHSA, PALM412BP1FHSA
"a, avg",lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin
1/1/2000,"Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted"
3/17/2022," Phoenix-Mesa-Chandler, AZ "," Las Vegas-Henderson-Paradise, NV "," Atlanta-Sandy Springs-Alpharetta, GA "," Dallas-Fort Worth-Arlington, TX "," Charlotte-Concord-Gastonia, NC-SC "," Portland-Vancouver-Hillsboro, OR-WA "," Austin-Round Rock-Georgetown, TX "," Kansas City, MO-KS "," Tampa-St. Petersburg-Clearwater, FL "," Houston-The Woodlands-Sugar Land, TX "," Miami-Fort Lauderdale-Pompano Beach, FL "," Denver-Aurora-Lakewood, CO "," Albuquerque, NM "," Oklahoma City, OK "," Los Angeles-Long Beach-Anaheim, CA "," Naples-Marco Island, FL "," Detroit-Warren-Dearborn, MI "," Philadelphia-Camden-Wilmington, PA-NJ-DE-MD "," Boston-Cambridge-Newton, MA-NH "," Chicago-Naperville-Elgin, IL-IN-WI "," Seattle-Tacoma-Bellevue, WA "," Nashville-Davidson--Murfreesboro--Franklin, TN "," Jacksonville, FL "," Colorado Springs, CO "," San Francisco-Oakland-Berkeley, CA "," San Antonio-New Braunfels, TX "," Orlando-Kissimmee-Sanford, FL "," Louisville-Jefferson County, KY-IN "," Columbus, OH "," St. Louis, MO-IL "," Washington-Arlington-Alexandria, DC-VA-MD-WV "," Omaha-Council Bluffs, NE-IA "," Fort Wayne, in "," Boise City, ID "," New York-Newark-Jersey City, NY-NJ-PA "," Pittsburgh, PA "," San Diego-Chula Vista-Carlsbad, CA "," Birmingham-Hoover, AL "," Raleigh-Cary, NC "," Memphis, TN-MS-AR "," North Port-Sarasota-Bradenton, FL "," Indianapolis-Carmel-Anderson, IN "," Sacramento-Roseville-Folsom, CA "," Tucson, AZ "," Fort Collins, CO "," New Orleans-Metairie, LA "," Reno, NV "," Tulsa, OK "," Eugene-Springfield, OR "," Minneapolis-St. Paul-Bloomington, MN-WI "," Pueblo, CO "," Lakeland-Winter Haven, FL "," Pensacola-Ferry Pass-Brent, FL "," Greeley, CO "," Tallahassee, FL "," Cape Coral-Fort Myers, FL "," Grand Junction, CO "," Salt Lake City, UT "," Port St. Lucie, FL "," Deltona-Daytona Beach-Ormond Beach, FL "," Columbia, SC "," Baltimore-Columbia-Towson, MD "," Palm Bay-Melbourne-Titusville, FL "," Fairbanks, AK "," Farmington, NM "," Greensboro-High Point, NC "," Greenville-Anderson, SC "," Harrisonburg, VA "," Laredo, TX "," Madison, WI "," McAllen-Edinburg-Mission, TX "," Medford, OR "," Midland, TX "," Milwaukee-Waukesha, WI "," Wilmington, NC "," Sumter, SC "," Springfield, OH "," Rome, GA "," Ocala, FL "," Missoula, MT "," Durham-Chapel Hill, NC "," Dover, DE "," Columbia, MO "," Cleveland-Elyria, OH "," Cincinnati, OH-KY-IN "," Cheyenne, WY "," Trenton-Princeton, NJ "," Texarkana, TX-AR "," Anchorage, AK "," Allentown-Bethlehem-Easton, PA-NJ "," Stockton, CA "," Sebastian-Vero Beach, FL "," Riverside-San Bernardino-Ontario, CA "," Richmond, VA "," Vineland-Bridgeton, NJ "," Odessa, TX "," Charleston-North Charleston, SC "," Bend, OR "," Auburn-Opelika, AL "," Grand Rapids-Kentwood, MI "," Hot Springs, AR "," Johnson City, TN "," Las Cruces, NM "," San Angelo, TX "," Myrtle Beach-Conway-North Myrtle Beach, SC-NC "," Des Moines-West Des Moines, IA "," San Jose-Sunnyvale-Santa Clara, CA "," Ocean City, NJ "," Virginia Beach-Norfolk-Newport News, VA-NC "," Santa Fe, NM "," Punta Gorda, FL "," Carson City, NV "," Atlantic City-Hammonton, NJ "," Honolulu, HI  (DISCONTINUED)"," Palm Coast, FL  (DISCONTINUED)"
1/1/2000,2796.940049,1867.908577,3903.210503,2961.239001,1150.622504,839.2362763,779.6172135,777.0088676,1090.478778,2313.792235,1179.729713,1239.184785,394.7937543,320.4042806,1284.836889,329.8434403,1227.955665,1309.578991,491.1112535,2485.921555,1063.144037,757.4693259,641.5625869,428.0484799,699.5148062,659.8663489,1292.529813,461.7104515,737.6798457,794.2000526,2486.351508,302.0429283,197.8104728,425.8396672,2151.690283,431.2117248,759.7004179,342.2440065,1049.338505,494.2227945,487.0149291,1040.257082,1112.153097,483.785533,222.3092588,264.4383034,262.8425537,261.6880717,95.32262308,1381.288588,85.61770978,291.6639798,193.42455,295.2565293,104.4377809,387.7369003,92.71169927,563.2198632,226.3646248,366.8986778,317.2066401,779.4746132,281.117518,#N/A,#N/A,679.2611064,505.0095037,#N/A,113.1004469,146.7737434,381.3209362,96.99552064,1,300.3258667,184.0881882,21.47736624,#N/A,#N/A,195.1116472,24.60188044,#N/A,69.50128863,76.18718233,517.5890445,787.9236629,21.85268213,88.74594991,17.58694986,68.20770409,148.632101,440.6698469,#N/A,1581.898572,474.9323773,18.33563655,21.81587807,300.2179917,#N/A,#N/A,471.8573756,143.9166667,77.06814124,58.7980739,19.77946047,151.8673858,193.7463109,231.3419765,#N/A,536.1271297,38,99.36057137,#N/A,158.8292721,144,#N/A
1/1/2001,2802.768257,1968.953728,3996.984349,3066.755648,1330.878213,879.1811466,494.4633985,814.3098391,1309.636375,2524.606964,1200.055439,1195.377997,393.4817284,367.9161528,1165.591942,332.8337525,1075.768431,1178.99392,441.5670737,2567.458249,1040.150281,845.2177782,796.9669869,433.2901218,610.8202784,726.4843559,1394.875016,472.9018218,842.5495751,826.3821076,2343.971512,303.4562264,208.8829518,413.1014585,1935.065549,391.033767,846.0165076,339.4435618,1143.57947,500.7667159,576.7167386,1208.765433,1192.189847,458.6200944,220.2749664,245.883056,318.4690291,281.1445433,101.6047506,1402.80075,92.41056061,318.0291886,210.8838638,328.5798714,120.1179382,519.1725717,95.44805741,587.6639038,261.5101145,399.5187949,318.7811849,723.5346164,341.3629459,#N/A,#N/A,706.7152619,509.9389945,#N/A,125.5317225,169.3180116,415.5920764,104.8199585,1,301.0300245,212.0070629,25.05156454,#N/A,#N/A,252.9138818,22.48114386,#N/A,79.06674557,89.87670231,532.6536596,836.1774451,21.45441886,92.62257665,17.08135655,89.4624379,166.8211719,366.0380484,#N/A,1930.048094,529.127076,19.16576849,21.39643686,318.8703725,#N/A,30,493.9665823,139.5,75.25243352,61.43562871,20.39233852,164.1017312,218.3697241,141.3151169,#N/A,567.9165395,51,119.7033935,#N/A,184.6633292,140,#N/A
1/1/2002,3349.102111,2075.296779,4100.660619,3219.497775,1458.549431,858.572107,582.5237269,895.099727,1491.187889,2889.240204,1013.492852,1168.794894,478.3403867,451.4119594,1259.288618,346.3035073,1175.592602,1318.688782,450.7814775,2775.751585,1208.949865,880.206517,918.1588411,413.1970832,682.609276,733.1688873,1452.869455,498.9391276,894.513396,923.6675013,2499.07424,341.4305535,222.5627514,436.6499937,1961.060985,431.6080936,746.3730439,371.0416307,1165.704553,579.994002,585.4637745,1123.398356,1434.042403,420.7846124,223.2315697,317.7445821,313.4451387,293.9319725,115.9587439,1449.156438,89.5689084,359.121691,235.9176685,311.9026316,120.7065853,601.278319,107.0984347,628.1561211,333.6110104,511.3335581,352.5695878,755.5396026,400.1936366,#N/A,#N/A,741.1704563,551.2667791,#N/A,133.7144223,186.1440559,482.755468,125.5037965,1,294.7020306,301.4915711,26.19762878,#N/A,#N/A,449.5330958,34.28804358,#N/A,119.3766981,95.31412525,563.7569935,851.7092189,36.35113388,86.07389453,16.32991895,78.7728423,192.9700453,477.9880082,#N/A,2488.065312,582.7485251,23.29020087,29.48445637,385.9771387,#N/A,36,498.4818381,142,89.31337964,76.35439246,20.78679333,193.6690179,270.134843,138.1971086,#N/A,637.1384474,53,131.4287039,#N/A,207.7950247,142,#N/A
1/1/2003,3859.980836,2522.476165,4453.350534,3426.658968,1401.80006,867.6890784,678.1937133,975.7831822,1662.516757,3295.157081,997.3640009,1079.91453,551.4700842,545.775107,1371.241797,281.4323318,1251.277346,1279.760135,422.8715341,2871.047827,1262.962928,962.9285662,1068.965369,426.2275807,736.4660587,751.758087,1837.020418,518.7060816,966.9691963,998.2049426,2531.237121,399.4274441,225.975286,514.0282931,1825.479639,419.7549673,778.8982715,448.7254469,1192.203995,666.8172766,652.25118,1088.457479,1551.221059,528.0150948,227.6898276,393.0428358,359.3445191,312.2847473,112.1989758,1696.076946,90.88467242,500.1161559,300.9457232,301.7067133,130.2471094,793.2268509,120.3001611,765.2058275,538.2424959,712.1007372,387.9650164,674.1189936,481.286447,#N/A,#N/A,706.6014681,577.118909,#N/A,134.071148,205.196643,499.6747347,145.1365863,1.1,326.328421,346.6041819,33.95867351,#N/A,#N/A,488.0432831,36.73997584,#N/A,143.8038765,110.8197306,587.0058312,907.2237759,39.40960508,67.01873683,20.98207419,73.22367766,180.7407846,572.0966678,#N/A,2904.527607,534.0155247,26.41685388,36.02254312,455.9220914,#N/A,37,518.2997986,166.9166667,101.0979242,102.3270057,22.14842892,268.1141006,336.7462593,209.8210251,#N/A,675.5442736,55,161.8920897,#N/A,226.7923757,167,#N/A
1/1/2004,4649.012201,2540.610304,4770.856231,3748.024732,1459.10993,932.6579253,1133.646701,1028.225165,1935.542269,3532.184087,1978.329493,1324.631692,595.4079463,639.8847198,1402.753333,347.0738605,1409.622062,1280.601701,653.9610998,2988.717393,1299.896461,1087.325617,1230.656525,543.6147446,677.0245972,1060.05485,2227.186023,623.2792616,906.1325642,1079.966687,2235.216537,463.7993053,176.0417333,659.6256367,1650.415992,449.0161403,749.5117877,537.9807748,1012.551795,734.9893385,866.2293196,1034.403576,1566.245408,723.154927,230.0258333,472.7433111,414.8843201,352.0228859,112.8008499,1654.805084,91.73022305,571.2754126,311.7490872,323.7026335,161.8765882,1256.817028,121.261601,532.2811429,660.1596505,408.8603285,496.100912,644.4557968,489.75365,18.27332478,29.37245264,390.0258287,363.6182842,71.00709715,141.0043538,266.9312145,564.3197043,154.6707789,23.5,321.3010864,520.7130992,42.84738097,21.52357891,35.35409452,441.791554,33.06082932,344.588942,162.7311741,138.4974476,541.4962621,907.7334483,46.82297724,78.78839884,18.71986592,78.84748286,356.1747399,536.0166238,167.5630024,3520.286498,652.4265392,27.81625978,16.21712002,580.9553954,269.2026298,67,329.9461129,11.6711868,73.77613663,113.5830247,18.9197057,352.2184845,373.6809332,232.8374074,89.34655943,651.2798604,48,193.0530429,11.02017224,151.9330881,151,#N/A
1/1/2005,4302.53134,2564.467944,5025.535263,4116.735001,1595.989331,1016.403816,1442.900532,997.0225613,2259.858705,4245.564739,1829.564609,1466.950152,592.0576762,680.4618507,1360.315162,340.6534348,1157.642342,1265.084663,665.913118,3019.748441,1472.751535,1160.490069,1556.701133,543.2180411,671.7912054,1199.219187,2179.509853,548.1760555,732.528778,1073.448514,2053.938816,486.0834235,171.6561872,856.5546623,1609.046421,407.6303557,603.0818448,571.6200076,1149.191364,801.3481437,979.3387013,1032.424984,1303.712418,927.0151184,186.6074547,345.932747,432.0221754,410.5787541,123.9194891,1438.53405,93.89007631,842.8468965,279.5831479,347.9231716,217.0654597,1849.262001,122.426076,579.2566482,752.992058,430.201854,550.036666,690.0465072,532.7630252,13.6884264,34.60574809,435.3188793,423.6525,93.07713778,149.1603411,231.5781887,543.6139586,145.391404,32.5,278.7248446,595.7902521,49.02526083,19.74684399,35.01159017,546.933571,37.35895322,351.5324153,167.5240192,132.6406217,488.17158,891.1052516,57.00540371,72.42032691,17.10527484,79.94972892,358.3805394,471.9982352,304.4588564,3725.526103,731.6437316,42.1666003,12.47119658,661.8925135,315.252353,112,306.7636223,13.08120174,77.33524816,162.8878678,22.57642219,513.9412313,420.1627628,200.8952499,93.28522583,644.2145014,48,238.2612234,9.201111906,151.5148918,187,#N/A
1/1/2006,2876.458507,1761.220323,4509.555062,3625.016381,1701.323994,844.3735533,1455.48619,731.5200759,1506.841483,4414.302821,1191.657822,1076.09978,435.2950661,573.4888421,1067.715578,241.486998,643.0412509,966.6065748,534.0290918,2370.588301,1219.951093,1122.139184,944.5516853,352.6758432,485.9491061,1151.134071,1945.289126,402.7236396,480.5595306,824.6134059,1525.470508,353.3714917,115.0485684,619.6184,1387.257389,366.8355091,400.7860716,522.8172695,1115.771489,701.2729401,557.9107962,780.3205251,726.5188912,637.6198614,123.8848836,396.3252476,282.8201494,397.0753033,107.4291438,1034.291973,99.13635214,650.2415138,176.3539313,223.8523432,209.7972675,1190.587145,118.6128649,524.0009737,468.7556325,258.9934556,484.1887426,557.4060506,363.7889419,24.27518209,36.37326325,382.1984335,406.0780554,74.05231224,133.0659111,161.9465622,561.8167692,94.5794001,39.2,214.4091168,473.5686804,47.82277948,15.82284145,30.46720403,556.2365611,34.54253308,304.7560457,136.3178036,83.42328726,390.211656,623.9676104,43.1293963,68.41633558,15.09755617,54.8608615,307.9357303,273.7964532,232.5482155,2706.981463,630.209606,48.70373467,21.8352955,578.1785138,254.7583308,141,199.8606626,11.32424794,78.59987847,170.2756265,30.53692257,526.2738646,337.6453338,173.0499321,65.84052637,490.4008313,35,207.2741642,9.207390285,128.8239267,142,#N/A
