Year,Total,Occupied,Vacant,Rate,Metro
2010,35179,28376,6803,0.193382416,"Aberdeen, WA Micro Area"
2010,69711,59857,9854,0.141355023,"Abilene, TX Metro Area"
2010,43445,36341,7104,0.163517091,"Adrian, MI Micro Area"
2010,143248,108256,34992,0.244275662,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area"
2010,312600,281523,31077,0.099414587,"Akron, OH Metro Area"
2010,67169,60263,6906,0.102815287,"Albany, GA Metro Area"
2010,48840,45489,3351,0.068611794,"Albany-Lebanon, OR Micro Area"
2010,393443,348634,44809,0.113889433,"Albany-Schenectady-Troy, NY Metro Area"
2010,40345,35024,5321,0.131887471,"Albertville, AL Micro Area"
2010,374674,344800,29874,0.079733315,"Albuquerque, NM Metro Area"
2010,65195,54774,10421,0.159843546,"Alexandria, LA Metro Area"
2010,49435,41724,7711,0.155982603,"Allegan, MI Micro Area"
2010,342432,311470,30962,0.090417952,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
2010,56277,52111,4166,0.074026689,"Altoona, PA Metro Area"
2010,103039,94287,8752,0.084938713,"Amarillo, TX Metro Area"
2010,36801,35851,950,0.025814516,"Ames, IA Metro Area"
2010,154449,135320,19129,0.123853181,"Anchorage, AK Metro Area"
2010,59054,50641,8413,0.142462831,"Anderson, IN Metro Area"
2010,84786,73794,10992,0.129644045,"Anderson, SC Metro Area"
2010,147565,132028,15537,0.105289195,"Ann Arbor, MI Metro Area"
2010,53321,45862,7459,0.139888599,"Anniston-Oxford, AL Metro Area"
2010,92928,88085,4843,0.052115616,"Appleton, WI Metro Area"
2010,213900,181239,32661,0.152692847,"Asheville, NC Metro Area"
2010,46089,38078,8011,0.173815878,"Ashtabula, OH Micro Area"
2010,39615,29810,9805,0.247507257,"Athens, TX Micro Area"
2010,80741,64210,16531,0.204741086,"Athens-Clarke County, GA Metro Area"
2010,2168806,1879479,289327,0.133403818,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
2010,126723,100096,26627,0.21011971,"Atlantic City-Hammonton, NJ Metro Area"
2010,36478,30975,5503,0.150858051,"Auburn, NY Micro Area"
2010,62660,55073,7587,0.12108203,"Auburn-Opelika, AL Metro Area"
2010,238681,206641,32040,0.134237748,"Augusta-Richmond County, GA-SC Metro Area"
2010,61015,51225,9790,0.160452348,"Augusta-Waterville, ME Micro Area"
2010,708643,647500,61143,0.086281809,"Austin-Round Rock-San Marcos, TX Metro Area"
2010,284674,252284,32390,0.11377927,"Bakersfield-Delano, CA Metro Area"
2010,1133012,1022553,110459,0.097491465,"Baltimore-Towson, MD Metro Area"
2010,73909,60428,13481,0.182399978,"Bangor, ME Metro Area"
2010,160313,93576,66737,0.416291879,"Barnstable Town, MA Metro Area"
2010,331391,291692,39699,0.119795046,"Baton Rouge, LA Metro Area"
2010,61009,52600,8409,0.137832123,"Battle Creek, MI Metro Area"
2010,48200,44064,4136,0.085809129,"Bay City, MI Metro Area"
2010,163179,140356,22823,0.139864811,"Beaumont-Port Arthur, TX Metro Area"
2010,36985,33256,3729,0.100824659,"Beaver Dam, WI Micro Area"
2010,35956,31514,4442,0.123539882,"Beckley, WV Micro Area"
2010,90728,80288,10440,0.115069218,"Bellingham, WA Metro Area"
2010,80187,64120,16067,0.200369137,"Bend, OR Metro Area"
2010,70567,65861,4706,0.066688395,"Billings, MT Metro Area"
2010,112753,100830,11923,0.105744415,"Binghamton, NY Metro Area"
