"Abilene, TX ","Callahan, TX"
"Abilene, TX ","Jones, TX"
"Abilene, TX ","Taylor, TX"
"Akron, OH ","Portage, OH"
"Akron, OH ","Summit, OH"
"Albany, GA ","Dougherty, GA"
"Albany, GA ","Lee, GA"
"Albany, GA ","Terrell, GA"
"Albany, GA ","Worth, GA"
"Albany-Lebanon, OR ","Linn, OR"
"Albany-Schenectady-Troy, NY ","Albany, NY"
"Albany-Schenectady-Troy, NY ","Rensselaer, NY"
"Albany-Schenectady-Troy, NY ","Saratoga, NY"
"Albany-Schenectady-Troy, NY ","Schenectady, NY"
"Albany-Schenectady-Troy, NY ","Schoharie, NY"
"Albuquerque, NM ","Bernalillo, NM"
"Albuquerque, NM ","Sandoval, NM"
"Albuquerque, NM ","Torrance, NM"
"Albuquerque, NM ","Valencia, NM"
"Alexandria, LA ","Grant, LA"
"Alexandria, LA ","Rapides, LA"
"Allentown-Bethlehem-Easton, PA-NJ ","Warren, NJ"
"Allentown-Bethlehem-Easton, PA-NJ ","Carbon, PA"
"Allentown-Bethlehem-Easton, PA-NJ ","Lehigh, PA"
"Allentown-Bethlehem-Easton, PA-NJ ","Northampton, PA"
"Altoona, PA ","Blair, PA"
"Amarillo, TX ","Armstrong, TX"
"Amarillo, TX ","Carson, TX"
"Amarillo, TX ","Oldham, TX"
"Amarillo, TX ","Potter, TX"
"Amarillo, TX ","Randall, TX"
"Ames, IA ","Boone, IA"
"Ames, IA ","Story, IA"
"Anchorage, AK ","Anchorage Municipality, AK"
"Anchorage, AK ","Matanuska-Susitna Borough, AK"
"Ann Arbor, MI ","Washtenaw, MI"
"Anniston-Oxford, AL ","Calhoun, AL"
"Appleton, WI ","Calumet, WI"
"Appleton, WI ","Outagamie, WI"
"Asheville, NC ","Buncombe, NC"
"Asheville, NC ","Haywood, NC"
"Asheville, NC ","Henderson, NC"
"Asheville, NC ","Madison, NC"
"Athens-Clarke County, GA ","Clarke, GA"
"Athens-Clarke County, GA ","Madison, GA"
"Athens-Clarke County, GA ","Oconee, GA"
"Athens-Clarke County, GA ","Oglethorpe, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Barrow, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Bartow, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Butts, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Carroll, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Cherokee, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Clayton, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Cobb, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Coweta, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Dawson, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","DeKalb, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Douglas, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Fayette, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Forsyth, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Fulton, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Gwinnett, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Haralson, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Heard, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Henry, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Jasper, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Lamar, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Meriwether, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Morgan, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Newton, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Paulding, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Pickens, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Pike, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Rockdale, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Spalding, GA"
"Atlanta-Sandy Springs-Alpharetta, GA ","Walton, GA"
"Atlantic City-Hammonton, NJ ","Atlantic, NJ"
"Auburn-Opelika, AL ","Lee, AL"
"Augusta-Richmond County, GA-SC ","Burke, GA"
"Augusta-Richmond County, GA-SC ","Columbia, GA"
"Augusta-Richmond County, GA-SC ","Lincoln, GA"
"Augusta-Richmond County, GA-SC ","McDuffie, GA"
"Augusta-Richmond County, GA-SC ","Richmond, GA"
"Augusta-Richmond County, GA-SC ","Aiken, SC"
"Augusta-Richmond County, GA-SC ","Edgefield, SC"
"Austin-Round Rock-Georgetown, TX ","Bastrop, TX"
"Austin-Round Rock-Georgetown, TX ","Caldwell, TX"
"Austin-Round Rock-Georgetown, TX ","Hays, TX"
"Austin-Round Rock-Georgetown, TX ","Travis, TX"
"Austin-Round Rock-Georgetown, TX ","Williamson, TX"
"Bakersfield, CA ","Kern, CA"
"Baltimore-Columbia-Towson, MD ","Anne Arundel, MD"
